url,address,building_area,surface_area,bedroom,bathroom,parking_area,tenure,price
https://www.rumah123.com/properti/cimahi/hos6216128/,"Cimahi Utara, Cimahi",170.0,205.0,2,1,0,SHM - Sertifikat Hak Milik,2500000000.0
https://www.rumah123.com/properti/bandung/hos9080715/,"Lembang, Bandung Barat",50.0,85.0,3,2,1,SHM - Sertifikat Hak Milik,998000000.0
https://www.rumah123.com/properti/cimahi/hos9131775/,"Cimahi Utara, Cimahi",65.0,120.0,3,2,2,SHM - Sertifikat Hak Milik,1040000000.0
https://www.rumah123.com/properti/cimahi/hos8606127/,"Cimahi Utara, Cimahi",200.0,150.0,4,3,1,SHM - Sertifikat Hak Milik,1650000000.0
https://www.rumah123.com/properti/cimahi/hos8765184/,"Cimahi Utara, Cimahi",120.0,386.0,4,3,2,SHM - Sertifikat Hak Milik,2500000000.0
https://www.rumah123.com/properti/cimahi/hos8556426/,"Cimahi Tengah, Cimahi",521.0,280.0,8,3,1,SHM - Sertifikat Hak Milik,2600000000.0
https://www.rumah123.com/properti/bandung/hos9047315/,"Padalarang, Bandung Barat",36.0,72.0,2,1,0,SHM - Sertifikat Hak Milik,356400000.0
https://www.rumah123.com/properti/cimahi/hos9135610/,"Cimahi Utara, Cimahi",288.0,144.0,3,3,1,SHM - Sertifikat Hak Milik,3200000000.0
https://www.rumah123.com/properti/cimahi/hos9014407/,"Cimahi Utara, Cimahi",38.0,72.0,2,1,1,SHM - Sertifikat Hak Milik,425000000.0
https://www.rumah123.com/properti/bandung-barat/hos8506801/,"Parongpong, Bandung Barat",58.0,94.0,2,2,0,SHM - Sertifikat Hak Milik,750000000.0
https://www.rumah123.com/properti/bandung/hos9135602/,"Ngamprah, Bandung Barat",100.0,88.0,3,2,2,SHM - Sertifikat Hak Milik,800000000.0
https://www.rumah123.com/properti/cimahi/hos9125008/,"Cimahi Utara, Cimahi",45.0,60.0,2,1,1,SHM - Sertifikat Hak Milik,405000000.0
https://www.rumah123.com/properti/cimahi/hos8919076/,"Cimahi Selatan, Cimahi",350.0,155.0,3,2,1,SHM - Sertifikat Hak Milik,2500000000.0
https://www.rumah123.com/properti/bandung/hos7726218/,"Cisarua, Bandung Barat",110.0,90.0,3,2,2,SHM - Sertifikat Hak Milik,1250000000.0
https://www.rumah123.com/properti/cimahi/hos8933114/,"Cimahi Tengah, Cimahi",60.0,75.0,2,2,0,HGB - Hak Guna Bangunan,635000000.0
https://www.rumah123.com/properti/bandung/hos9134465/,"Ngamprah, Bandung Barat",48.0,100.0,2,1,1,SHM - Sertifikat Hak Milik,579600000.0
https://www.rumah123.com/properti/cimahi/hos8735349/,"Cimahi Utara, Cimahi",90.0,105.0,3,2,0,Tidak Ada Penjelasan,1244000000.0
https://www.rumah123.com/properti/cimahi/hos8949137/,"Cimahi Selatan, Cimahi",420.0,329.0,18,8,0,SHM - Sertifikat Hak Milik,800000000.0
